Time,Level,Host,Service,Log,CompleteLog
2025-01-20T16:08:27.526Z,In(05),host-2377,,In(05) host-2377 Log for vmon pid=2377 version=e.x.p build=build-24322831 option=Release,2025-01-20T16:08:27.526Z In(05) host-2377 Log for vmon pid=2377 version=e.x.p build=build-24322831 option=Release
2025-01-20T16:08:27.526Z,In(05),host-2377,,In(05) host-2377 The host is x86_64.,2025-01-20T16:08:27.526Z In(05) host-2377 The host is x86_64.
2025-01-20T16:08:27.526Z,In(05),host-2377,,In(05) host-2377 Host codepage=UTF-8 encoding=UTF-8,2025-01-20T16:08:27.526Z In(05) host-2377 Host codepage=UTF-8 encoding=UTF-8
2025-01-20T16:08:27.526Z,In(05),host-2377,,In(05) host-2377 Host is Linux 5.10.219-3.ph4 VMware Photon OS 4.0 4.0 VMware Photon OS/Linux,2025-01-20T16:08:27.526Z In(05) host-2377 Host is Linux 5.10.219-3.ph4 VMware Photon OS 4.0 4.0 VMware Photon OS/Linux
2025-01-20T16:08:27.526Z,In(05),host-2377,,In(05) host-2377 Host offset from UTC is +00:00.,2025-01-20T16:08:27.526Z In(05) host-2377 Host offset from UTC is +00:00.
2025-01-20T16:08:27.526Z,In(05),host-2377,,In(05) host-2377 LogRotation: Rotating to a new log file (keepOld 8) took 0.002356 seconds.,2025-01-20T16:08:27.526Z In(05) host-2377 LogRotation: Rotating to a new log file (keepOld 8) took 0.002356 seconds.
2025-01-20T16:08:27.562Z,In(05),host-2377,,In(05) host-2377 SOCKET 1 (9) creating new listening socket on port -1,2025-01-20T16:08:27.562Z In(05) host-2377 SOCKET 1 (9) creating new listening socket on port -1
2025-01-20T16:08:27.565Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.565Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.567Z,In(05),host-2377,,In(05) host-2377 Adding service vmcam.,2025-01-20T16:08:27.567Z In(05) host-2377 Adding service vmcam.
2025-01-20T16:08:27.567Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.567Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.569Z,In(05),host-2377,,In(05) host-2377 Adding service trustmanagement.,2025-01-20T16:08:27.569Z In(05) host-2377 Adding service trustmanagement.
2025-01-20T16:08:27.569Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.569Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.570Z,In(05),host-2377,,In(05) host-2377 Adding service certificateauthority.,2025-01-20T16:08:27.570Z In(05) host-2377 Adding service certificateauthority.
2025-01-20T16:08:27.570Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.570Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.571Z,In(05),host-2377,,In(05) host-2377 Adding service sps.,2025-01-20T16:08:27.571Z In(05) host-2377 Adding service sps.
2025-01-20T16:08:27.571Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.571Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.574Z,In(05),host-2377,,In(05) host-2377 Adding service applmgmt.,2025-01-20T16:08:27.574Z In(05) host-2377 Adding service applmgmt.
2025-01-20T16:08:27.574Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.574Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.575Z,In(05),host-2377,,In(05) host-2377 Adding service rbd.,2025-01-20T16:08:27.575Z In(05) host-2377 Adding service rbd.
2025-01-20T16:08:27.575Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.575Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.579Z,In(05),host-2377,,In(05) host-2377 Adding service updatemgr.,2025-01-20T16:08:27.579Z In(05) host-2377 Adding service updatemgr.
2025-01-20T16:08:27.579Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.579Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.579Z,In(05),host-2377,,In(05) host-2377 Adding service envoy-sidecar.,2025-01-20T16:08:27.579Z In(05) host-2377 Adding service envoy-sidecar.
2025-01-20T16:08:27.579Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.579Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.580Z,In(05),host-2377,,In(05) host-2377 Adding service wcp.,2025-01-20T16:08:27.580Z In(05) host-2377 Adding service wcp.
2025-01-20T16:08:27.580Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.580Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.582Z,In(05),host-2377,,In(05) host-2377 Adding service vapi-endpoint.,2025-01-20T16:08:27.582Z In(05) host-2377 Adding service vapi-endpoint.
2025-01-20T16:08:27.582Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.582Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.582Z,In(05),host-2377,,In(05) host-2377 Adding service vpxd.,2025-01-20T16:08:27.582Z In(05) host-2377 Adding service vpxd.
2025-01-20T16:08:27.582Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.582Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.584Z,In(05),host-2377,,In(05) host-2377 Adding service vsphere-ui.,2025-01-20T16:08:27.584Z In(05) host-2377 Adding service vsphere-ui.
2025-01-20T16:08:27.584Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.584Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.584Z,In(05),host-2377,,In(05) host-2377 Adding service vmware-vpostgres.,2025-01-20T16:08:27.584Z In(05) host-2377 Adding service vmware-vpostgres.
2025-01-20T16:08:27.584Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.584Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.586Z,In(05),host-2377,,In(05) host-2377 Adding service observability-vapi.,2025-01-20T16:08:27.586Z In(05) host-2377 Adding service observability-vapi.
2025-01-20T16:08:27.586Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.586Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.588Z,In(05),host-2377,,In(05) host-2377 Adding service vsan-health.,2025-01-20T16:08:27.588Z In(05) host-2377 Adding service vsan-health.
2025-01-20T16:08:27.588Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.588Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.588Z,In(05),host-2377,,In(05) host-2377 Adding service vstats.,2025-01-20T16:08:27.588Z In(05) host-2377 Adding service vstats.
2025-01-20T16:08:27.589Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.589Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.590Z,In(05),host-2377,,In(05) host-2377 Adding service hvc.,2025-01-20T16:08:27.590Z In(05) host-2377 Adding service hvc.
2025-01-20T16:08:27.590Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.590Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.590Z,In(05),host-2377,,In(05) host-2377 Adding service vcha.,2025-01-20T16:08:27.590Z In(05) host-2377 Adding service vcha.
2025-01-20T16:08:27.590Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.590Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.591Z,In(05),host-2377,,In(05) host-2377 Adding service netdumper.,2025-01-20T16:08:27.591Z In(05) host-2377 Adding service netdumper.
2025-01-20T16:08:27.591Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.591Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.591Z,In(05),host-2377,,In(05) host-2377 Adding service imagebuilder.,2025-01-20T16:08:27.591Z In(05) host-2377 Adding service imagebuilder.
2025-01-20T16:08:27.591Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.591Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.592Z,In(05),host-2377,,In(05) host-2377 Adding service vtsdb.,2025-01-20T16:08:27.592Z In(05) host-2377 Adding service vtsdb.
2025-01-20T16:08:27.592Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.592Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.593Z,In(05),host-2377,,In(05) host-2377 Adding service lookupsvc.,2025-01-20T16:08:27.593Z In(05) host-2377 Adding service lookupsvc.
2025-01-20T16:08:27.593Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.593Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.594Z,In(05),host-2377,,In(05) host-2377 Adding service topologysvc.,2025-01-20T16:08:27.594Z In(05) host-2377 Adding service topologysvc.
2025-01-20T16:08:27.594Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.594Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.595Z,In(05),host-2377,,In(05) host-2377 Adding service sca.,2025-01-20T16:08:27.595Z In(05) host-2377 Adding service sca.
2025-01-20T16:08:27.595Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.595Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.596Z,In(05),host-2377,,In(05) host-2377 Adding service pschealth.,2025-01-20T16:08:27.596Z In(05) host-2377 Adding service pschealth.
2025-01-20T16:08:27.596Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.596Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.596Z,In(05),host-2377,,In(05) host-2377 Adding service infraprofile.,2025-01-20T16:08:27.596Z In(05) host-2377 Adding service infraprofile.
2025-01-20T16:08:27.596Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.596Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.597Z,In(05),host-2377,,In(05) host-2377 Adding service perfcharts.,2025-01-20T16:08:27.597Z In(05) host-2377 Adding service perfcharts.
2025-01-20T16:08:27.597Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.597Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.598Z,In(05),host-2377,,In(05) host-2377 Adding service vmware-postgres-archiver.,2025-01-20T16:08:27.598Z In(05) host-2377 Adding service vmware-postgres-archiver.
2025-01-20T16:08:27.598Z,In(05),host-2377,,"In(05) host-2377 Creating service <unknown>, using vMon startup engine.","2025-01-20T16:08:27.598Z In(05) host-2377 Creating service <unknown>, using vMon startup engine."
2025-01-20T16:08:27.600Z,In(05),host-2377,,In(05) host-2377 Adding service cis-license.,2025-01-20T16:08:27.600Z In(05) host-2377 Adding service cis-license.
