service_name,prestart_name,constructed_command,status,status_log
analytics,analytics-prestart,,Not Found,
applmgmt,applmgmt-prestart,,Not Found,
certificateauthority,certificateauthority-prestart,,Not Found,
certificatemanagement,certificatemanagement-prestart,,Not Found,
cis-license,cis-license-prestart,,Not Found,
content-library,content-library-prestart,,Not Found,
eam,eam-prestart,,Not Found,
envoy,envoy-prestart,,Not Found,
envoy-hgw,envoy-hgw-prestart,,Not Found,
envoy-sidecar,envoy-sidecar-prestart,,Not Found,
event-pub,event-pub-prestart,,Not Found,
hvc,hvc-prestart,,Not Found,
imagebuilder,imagebuilder-prestart,,Not Found,
infraprofile,infraprofile-prestart,,Not Found,
lookupsvc,lookupsvc-prestart,,Not Found,
netdumper,netdumper-prestart,,Not Found,
observability-vapi,observability-vapi-prestart,,Not Found,
perfcharts,perfcharts-prestart,,Not Found,
pschealth,pschealth-prestart,,Not Found,
rbd,rbd-prestart,,Not Found,
rhttpproxy,rhttpproxy-prestart,,Not Found,
sca,sca-prestart,,Not Found,
sps,sps-prestart,,Not Found,
sts,sts-prestart,,Not Found,
topologysvc,topologysvc-prestart,,Not Found,
trustmanagement,trustmanagement-prestart,,Not Found,
updatemgr,updatemgr-prestart,,Not Found,
vapi-endpoint,vapi-endpoint-prestart,,Not Found,
vc-ws1a-broker,vc-ws1a-broker-prestart,,Not Found,
vcha,vcha-prestart,,Not Found,
vlcm,vlcm-prestart,,Not Found,
vmcam,vmcam-prestart,,Not Found,
vmonapi,vmonapi-prestart,,Not Found,
vmware-postgres-archiver,vmware-postgres-archiver-prestart,,Not Found,
vmware-vpostgres,vmware-vpostgres-prestart,,Not Found,
vpxd,vpxd-prestart,,Not Found,
vpxd-svcs,vpxd-svcs-prestart,,Not Found,
vsan-health,vsan-health-prestart,,Not Found,
vsm,vsm-prestart,,Not Found,
vsphere-ui,vsphere-ui-prestart,,Not Found,
vstats,vstats-prestart,,Not Found,
vtsdb,vtsdb-prestart,,Not Found,
wcp,wcp-prestart,,Not Found,
